,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-10-20 11:58:46.300,0.003292,1.25,1.75489043463,2.16950795839,0.000834,78.57755
2017-10-20 12:00:03.100,0.003396,1.25,1.53212221807,2.06528410768,0.000834,79.27724
2017-10-20 12:00:07.900,0.00355,1.25,1.53212221807,2.06528410768,0.000834,78.57755
2017-10-20 12:00:48.700,0.003786,1.25,1.48821127712,2.01548046171,0.000834,80.46366
2017-10-20 12:01:29.500,0.003791,1.25,2.0518935919,2.51197797743,0.000834,74.66845
2017-10-20 12:02:10.300,0.003326,1.25,1.97834230981,2.44123421828,0.000834,80.47887
2017-10-20 12:02:51.100,0.003794,1.25,1.64623500708,2.08935186561,0.000834,74.69887
2017-10-20 12:03:31.900,0.003786,1.25,2.00437265146,2.58553794454,0.000834,76.95004
2017-10-20 12:04:12.700,0.003515,1.25,2.24888752995,2.42585220411,0.000834,78.36461
2017-10-20 12:04:53.500,0.003696,1.25,1.53703084541,1.97005586406,0.000834,75.88529
2017-10-20 12:05:34.300,0.003317,1.25,2.01719885472,2.2153511373,0.000834,76.95004
2017-10-20 12:06:15.100,0.003478,1.25,1.6827090614,2.20594795141,0.000834,79.33808
2017-10-20 12:06:55.900,0.003762,1.25,1.31263726052,1.95721352685,0.000834,77.4976
2017-10-20 12:07:36.700,0.003691,1.25,1.97155015117,2.49519814724,0.000834,78.25813
2017-10-20 12:08:17.500,0.003787,1.25,1.7375956723,1.97784936642,0.000834,77.23903
2017-10-20 12:08:58.300,0.003613,1.25,2.02625977806,2.42815836182,0.000834,78.95782
2017-10-20 12:09:39.100,0.003256,1.25,1.62846904195,2.03098830224,0.000834,78.10603
2017-10-20 12:10:19.900,0.003724,1.25,1.76228331625,2.24589111903,0.000834,74.48592
2017-10-20 12:11:00.700,0.003773,1.25,2.02339072757,2.40991362082,0.000834,78.36461
2017-10-20 12:11:41.500,0.003626,1.25,1.92761198527,2.40021683977,0.000834,76.35682
2017-10-20 12:12:31.900,0.003671,1.25,1.73123023393,2.1710228113,0.000834,76.67624
2017-10-20 12:13:03.100,0.003663,1.25,1.74641454769,2.28796703955,0.000834,77.02608
2017-10-20 12:13:53.500,0.003461,1.25,1.86591424862,2.24890089646,0.000834,78.30376
2017-10-20 12:14:34.300,0.003613,1.25,1.52786541037,2.01521848269,0.000834,78.15166
2017-10-20 12:15:15.100,0.003334,1.25,1.64893382754,1.90213890421,0.000834,77.13255
